method,seed,task,tree,job_id,node,gpu,job_hours,optimizer_hours,soft_hours,beam_hours,scored_candidates,api_usd,source,ref_hours
PGD,44,cat,main,16048555,sphinx9,h100,1.344,1.32,,,1500,,optimizer_sec,3.313
AutoDAN,44,cat,main,16043436,sphinx5,a100,7.612,7.512,,,63691,,job - overhead,7.512
GBDA,44,cat,main,16047321,tiger-hgx-1,a100,2.091,2.036,,,201,,optimizer_sec,2.036
GBDA-reg,44,cat,main,16043583,sphinx9,h100,0.957,0.857,,,201,,job - overhead,2.151
LARGO,44,cat,largo_t25,16396926,jagupard33,a6000,3.282,3.143,,,25,,optimizer_sec,1.522
GCG,44,dog,main,16914978,jagupard34,a6000,17.304,8.491,,,244467,,optimizer_sec,4.112
GCG-reg,44,dog,main,16914978,jagupard34,a6000,17.304,8.577,,,235284,,optimizer_sec,4.154
OPRO,44,dog,main,16914979,pasteur7,a6000,1.298,1.196,,,400,0.6945059999999997,optimizer_sec,0.579
PGD,44,dog,main,16914444,sphinx4,a100,3.252,3.196,,,1500,,optimizer_sec,3.196
AutoDAN,44,dog,main,16935850,pasteur-hgx-1,a100,10.428,10.345,,,64995,,optimizer_sec,10.345
GBDA,44,dog,main,16935851,cocoflops-hgx-1,a100,2.521,2.456,,,201,,optimizer_sec,2.456
GBDA-reg,44,dog,main,16935852,cocoflops-hgx-1,a100,2.558,2.496,,,201,,optimizer_sec,2.496
SALVE,44,dog,ind_finalpool,16884489,viscam12,l40s,1.344,1.959,,1.269,731,,beam_sec + soft phase estimated,1.625
LARGO,44,dog,ind,16396939,jagupard37,rtx6000ada,3.656,3.51,,,25,,optimizer_sec,1.508
GCG,44,eagle,main,16914981,cocoflops2,a40,17.464,8.485,,,241326,,optimizer_sec,4.025
GCG-reg,44,eagle,main,16914981,cocoflops2,a40,17.464,8.755,,,237816,,optimizer_sec,4.153
OPRO,44,eagle,main,16914982,jagupard33,a6000,1.192,1.089,,,400,0.6705735,optimizer_sec,0.527
PGD,44,eagle,main,16914448,cocoflops-hgx-1,a100,4.175,4.09,,,1500,,optimizer_sec,4.09
AutoDAN,44,eagle,main,16935853,cocoflops-hgx-1,a100,9.65,9.564,,,64582,,optimizer_sec,9.564
GBDA,44,eagle,main,16935854,cocoflops-hgx-1,a100,2.401,2.341,,,201,,optimizer_sec,2.341
GBDA-reg,44,eagle,main,16935855,cocoflops-hgx-1,a100,2.558,2.495,,,201,,optimizer_sec,2.495
SALVE,44,eagle,ind_finalpool,16884493,pasteur9,l40s,1.349,1.934,,1.244,693,,beam_sec + soft phase estimated,1.604
LARGO,44,eagle,ind,16396943,jagupard33,a6000,3.762,3.639,,,25,,optimizer_sec,1.762
GCG,44,owl,main,16914984,pasteur9,l40s,9.69,4.619,,,246250,,optimizer_sec,3.83
GCG-reg,44,owl,main,16914984,pasteur9,l40s,9.69,4.95,,,248234,,optimizer_sec,4.105
OPRO,44,owl,main,16914985,pasteur5,a6000,1.2,1.096,,,400,0.6218752500000002,optimizer_sec,0.531
PGD,44,owl,main,16914452,sphinx5,a100,3.361,3.277,,,1500,,optimizer_sec,3.277
AutoDAN,44,owl,main,16935856,sphinx4,a100,7.874,7.749,,,65407,,optimizer_sec,7.749
GBDA,44,owl,main,16935857,cocoflops-hgx-1,a100,2.402,2.342,,,201,,optimizer_sec,2.342
GBDA-reg,44,owl,main,16935858,pasteur-hgx-1,a100,2.643,2.575,,,201,,optimizer_sec,2.575
SALVE,44,owl,ind_finalpool,16884497,pasteur9,l40s,0.796,1.414,,0.724,459,,beam_sec + soft phase estimated,1.173
LARGO,44,owl,ind,16396947,pasteur5,a6000,3.297,3.181,,,25,,optimizer_sec,1.541
